state,county,cz,czname,kfr_pooled_pooled_p25,kfr_pooled_pooled_p25_se,jail_pooled_pooled_p25,jail_pooled_pooled_p25_se,pooled_pooled_count,kfr_black_pooled_p25,kfr_black_pooled_p25_se,kfr_hisp_pooled_p25,kfr_hisp_pooled_p25_se,kfr_white_pooled_p25,kfr_white_pooled_p25_se,jail_black_pooled_p25,jail_black_pooled_p25_se,jail_hisp_pooled_p25,jail_hisp_pooled_p25_se,jail_white_pooled_p25,jail_white_pooled_p25_se,white_pooled_count,black_pooled_count,hisp_pooled_count,kfr_pooled_female_p25,kfr_pooled_female_p25_se,kfr_pooled_male_p25,kfr_pooled_male_p25_se,jail_pooled_female_p25,jail_pooled_female_p25_se,jail_pooled_male_p25,jail_pooled_male_p25_se,pooled_male_count,pooled_female_count,kfr_black_female_p25,kfr_black_female_p25_se,kfr_hisp_female_p25,kfr_hisp_female_p25_se,kfr_white_female_p25,kfr_white_female_p25_se,kfr_black_male_p25,kfr_black_male_p25_se,kfr_hisp_male_p25,kfr_hisp_male_p25_se,kfr_white_male_p25,kfr_white_male_p25_se,jail_black_female_p25,jail_black_female_p25_se,jail_hisp_female_p25,jail_hisp_female_p25_se,jail_white_female_p25,jail_white_female_p25_se,jail_black_male_p25,jail_black_male_p25_se,jail_hisp_male_p25,jail_hisp_male_p25_se,jail_white_male_p25,jail_white_male_p25_se,white_male_count,black_male_count,hisp_male_count,white_female_count,black_female_count,hisp_female_count
54,69,15600,Wheeling,.42190182,.0069201109,.0082863271,.0027293854,4305.2759,.31549802,.019854175,.37445036,.057470858,.43968931,.0074583497,.042673513,.021464497,.0052668946,.01383076,.0049962439,.0022334664,3708.2791,379.6441,27.605497,.42419228,.0098655159,.41966698,.0095720859,.0011534297,.00094571029,.016937941,.0050430102,2215.1758,2089.1685,.27781224,.02183559,.39117318,.076666139,.44808298,.010617911,.34709555,.033239678,,,.43521214,.010489458,-.002723133,.0054606968,.0035023596,.017783353,.0010875564,.00078062218,.088107616,.047745623,,,.0091386149,.0039724177,1895.3739,194.04765,,1813.3394,186.78088,11.932978
54,71,17200,Harrisonburg,.43508109,.015786415,.019147528,.0082414541,1194.0033,,,,,.443589,.01637068,,,,,.017326565,.0079621077,1113.264,,,.46419322,.022992296,.40715834,.021817466,.0026560284,.0037679609,.036623441,.01642753,585.09656,609.10272,,,,,.47419363,.023770273,,,,,.41566119,.02172582,,,,,.0063063395,.0052938177,,,,,.032972407,.016389806,541.35413,,,573.8244,,
54,73,15300,Parkersburg,.48239341,.017353479,.00011600268,.0032714962,838.89087,,,,,.48571083,.017836493,,,,,.0007650542,.0023819052,808.2179,,,.49707013,.024040399,.46831584,.024246778,-.0017847026,.0015672996,.00091066194,.0061861943,422.14078,413.82977,,,,,.5005815,.02411446,,,,,.47025311,.0258867,,,,,.00024792363,.0014816903,,,,,.0018385651,.0032505642,401.83057,,,403.62039,,
54,75,16701,Elkins,.41511455,.013490622,.002628858,.0018734502,1359.8479,,,,,.42385772,.013828068,,,,,.0016153406,.0010699478,1335.4513,,,.43211538,.019860746,.39869317,.018944154,.00067540002,.0017450011,.004039743,.0034356187,739.34747,619.88745,,,,,.43337229,.020365834,,,,,.41421369,.018980658,,,,,.003495974,.0034743568,,,,,.0048220572,.0022820861,717.30957,,,618.41193,,
54,77,16702,Morgantown,.44848606,.0079369051,.013994227,.0034726381,4363.8208,,,,,.45661092,.0081716487,,,,,.013734093,.0034488947,4238.3306,,,.44618452,.011579031,.45019758,.011251853,.000046697911,.00047994242,.026304305,.0064542303,2263.1025,2100.7759,,,,,.45087931,.011723462,,,,,.460733,.011762109,,,,,.0010522926,.00078916259,,,,,.025896799,.0070601907,2190.6167,,,2046.7996,,
54,79,16901,Charleston,.41490504,.0068803648,.015468491,.0038732768,4305.9517,.33790991,.046894461,.29059112,.055415239,.42916811,.0072023729,.047178492,.045266762,.062915847,.063428327,.014338384,.0037171587,4084.7317,43.028233,39.213299,.42290547,.0098024616,.40793076,.0096766362,-.0008903314,.00031262223,.030242743,.0072263554,2274.1594,2034.8486,.35465208,.058254097,.21831861,.079523146,.43812782,.010405849,.29910392,.070702434,.33104944,.07357236,.42121315,.010104733,-.0028114782,.010391968,.018532457,.041998357,-.00059878553,.00022944152,.12810054,.11326821,.10948129,.1070143,.027926886,.0073963618,2161.5151,20.935307,25.499014,1927.5321,22.073643,14.376437
54,81,16801,Beckley,.40020555,.0057349126,.024871275,.0041144611,7901.3403,.3375577,.011356691,.37777662,.046049725,.42549583,.0067237928,.057726197,.013461506,.090195492,.053123765,.016994473,.0037679328,6310.7354,1191.2264,75.735512,.41471678,.0080390144,.38482869,.0080936952,.003012571,.0016461847,.048774544,.0077915299,3981.7495,3918.4624,.34084401,.01490113,.35037705,.06182643,.44279331,.009515319,.33517754,.017465264,.41034564,.067946382,.40725139,.0095048985,.0091037285,.0074472907,-.0035055487,.014242004,.0014854355,.00080398755,.10716664,.024581179,.22187617,.10260266,.033517301,.007699288,3153.938,593.27307,31.56427,3151.8574,598.35907,45.058575
54,83,16701,Elkins,.40600058,.0080634737,.0092534693,.0030382515,3769.6731,,,.3855364,.071184278,.41278449,.0083706351,,,,,.0076951287,.0021370593,3627.9812,,36.529507,.40241289,.011704848,.40840963,.011900333,.0013793167,.0013520437,.018068008,.0057101585,1927.0758,1845.2778,,,,,.40612251,.011495257,,,,,.41755196,.012239604,,,,,.00076330494,.00088505115,,,,,.014974925,.0054945797,1857.2737,,,1771.4104,,
54,85,15300,Parkersburg,.41655013,.011559573,.013997191,.0051048407,1633.3264,,,,,.42127997,.011892141,,,,,.014968639,.0053114151,1585.1232,,,.40685821,.016072638,.42589638,.017021447,.0053204601,.0038688038,.024019247,.010467821,812.16949,819.98553,,,,,.41429245,.01677672,,,,,.42812485,.017259775,,,,,.0074601676,.0039806715,,,,,.022565819,.0094574103,793.6098,,,790.67413,,
54,87,16902,Spencer,.41699594,.0086909225,.0095231645,.0025869529,2450.0781,,,.40624535,.058655992,.42837417,.0092256246,,,,,.0099019166,.0033700953,2367.3999,,28.16625,.44038036,.013257334,.39814684,.012163045,.0068076383,.003881901,.010618272,.0021684936,1260.5209,1188.0916,,,,,.4513483,.013885376,,,,,.40846711,.012333472,,,,,.0070107216,.0031051484,,,,,.011551622,.004274244,1219.4729,,,1147.6764,,
54,89,16801,Beckley,.39783511,.011873536,.024698989,.0079564471,1770.7251,.29557315,.057069872,.43707421,.072312787,.41000101,.012577794,,,,,.025368761,.0085113831,1658.6252,46.981659,19.152809,.40730387,.017515706,.38893282,.01592466,.013298527,.0073518222,.036638416,.013430377,920.91046,849.47028,,,,,.42087317,.018588528,,,,,.40180361,.017153585,,,,,.014663698,.0077798823,,,,,.036308624,.014197273,872.19183,,,785.39075,,
54,91,16702,Morgantown,.41157141,.010249294,.013717253,.004553183,2176.1226,,,,,.42664251,.010240684,,,,,.013082085,.0044012796,2107.0818,,,.42186171,.014396907,.40261853,.014373939,-.00039119582,.00064495654,.029891592,.010010155,1144.6078,1032.3718,,,,,.43500805,.015290206,,,,,.41874871,.014682462,,,,,-.00019265946,.00071961054,,,,,.026471602,.0094969561,1122.6058,,,986.62048,,
54,93,16701,Elkins,.45519081,.017011963,.005650444,.0022577608,1086.7708,,,,,.46861807,.017809408,,,,,.0056509241,.004180525,1040.6743,,,.46752205,.024083031,.44271451,.023826687,-.000048070833,.0021548767,.010139648,.0043723616,527.95313,559.28235,,,,,.48149884,.024441563,,,,,.45821381,.024757132,,,,,.0017167011,.0027335219,,,,,.011555216,.0081700832,502.86847,,,538.48315,,
54,95,15600,Wheeling,.44316429,.014112134,.014840295,.0069964556,1130.9021,,,,,.44878802,.014459667,,,,,.013857649,.0069242911,1092.9366,,,.45242435,.019953435,.4325878,.020076381,.0025726464,.0028623766,.027985562,.014171134,543.5282,587.50708,,,,,.45928165,.020417444,,,,,.43792486,.020682607,,,,,.0022180753,.0023858345,,,,,.02496131,.013421168,517.58411,,,575.90198,,
54,97,16703,Buckhannon,.44054127,.0088096336,.0094745392,.0031079573,3061.4885,,,,,.45146075,.0092112916,,,,,.010009659,.0034110879,2961.3147,,,.45641544,.01238297,.42496014,.012455996,.00069165125,.00053731125,.019065473,.0059662922,1566.5696,1493.6316,,,,,.46804884,.012915188,,,,,.43543953,.012722671,,,,,.00068535155,.00087803812,,,,,.01984662,.0063816598,1508.3469,,,1451.306,,
54,99,17100,Huntington,.39207786,.0067976285,.017466573,.0041437214,5151.1343,,,.36096555,.068363741,.40490946,.0069169574,,,.010786328,.032877564,.017043633,.0038335158,4952.7905,,38.724968,.40262786,.0097518237,.38304266,.0094091604,.0023719501,.0014591871,.030965745,.0070515512,2722.7747,2426.8579,,,,,.41446003,.010055805,,,,,.39643261,.0096940352,,,,,.0024370751,.0011846491,,,,,.029434459,.0072790151,2616.6218,,,2336.3247,,
54,101,16802,Summersville,.43224537,.012577483,.022944346,.0074803433,1575.62,,,,,.4378362,.013093022,,,,,.019273281,.0070991958,1554.7747,,,.43943065,.017345522,.42675555,.019150374,.0023756716,.0031686849,.041897241,.014826832,787.03857,786.24573,,,,,.44341677,.017980183,,,,,.43496606,.019461717,,,,,.0035592017,.0030330773,,,,,.036464382,.015119349,773.35175,,,779.11475,,
